,Number,Name_of_Covered_Entity,Region,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,year
378,379,Seton Health Plan,Yishun,555,2012-09-03 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-03-09,2012
379,380,awklein a med corp,Yio Chu Kang,2000,2011-01-02 00:00:00,Theft,Other,2014-01-23,,2011-02-01,2011
380,381,Utah Department of Health,Farrer Park,780000,03/10/2012-04/02/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-03-10,2012
381,382,IU Medical Group,Novena,1000,2012-11-04 00:00:00,Improper Disposal,Paper,2014-01-23,,2012-04-11,2012
382,383,Rhinebeck Health Center/Center for Progressive Medicine,Sengkang,6745,11/15/2011-12/14/2011,Theft,"Desktop Computer, Network Server",2014-06-03,"The CE's network server and two local computers were hacked and compromised by a computer virus which resulted in the disclosure of electronic protected health information (ePHI) of 6,745 individuals.  The ePHI included names, insurance numbers, diagnoses, medical histories, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE shut down all computer and email systems to prevent unauthorized access to its network and core files.  In addition, the CE decommissioned the previously used server, deactivated the network router, disabled network access to ePHI, and discontinued the previously utilized backup.  As a result of OCR's investigation, the CE deployed a new real-time firewall and intrusion detection system and implemented new measures for software management.  In addition, the CE installed a new network server, deployed a new router with security subscription to actively monitor internal network traffic and external threat patterns, and implemented a centralized antivirus software system.",2011-11-15,2011
383,384,Memorial Healthcare System,Sembawang,9497,08/01/2011 - 02/12/2012,Other,Other,2014-01-23,,2011-08-01,2011
384,385,"Roy E. Gondo, M.D.",Punggol,2100,2/21/2012,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,,2012-02-21,2012
385,386,"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",Yishun,1000,2/16/2012,Improper Disposal,Paper,2014-01-23,,2012-02-16,2012
386,387,Emory Healthcare,Eunos,315000,02/07/2012 - 02/20/2012,"Unknown, Other",Other,2014-01-23,,2012-02-07,2012
387,388,"Rex Smith, DPM -Rex Smith Podiatry ",Boon Keng,20915,2/19/2012,Theft,Desktop Computer,2014-01-23,,2012-02-19,2012
388,389,Desert AIDS Project,Yio Chu Kang,4400,2012-12-04 00:00:00,Theft,Desktop Computer,2014-01-23,,2012-04-12,2012
389,390,University of Arkansas for Medical Sciences,Bouna Vista,7121,2/15/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-02-15,2012
390,391,"TLC DENTAL DANIA, LLC",Sembawang,750,4/23/2012,Theft,Paper,2014-02-20,,2012-04-23,2012
391,392,South Carolina Department of Health and Human Services,Little India,228435,01/31/2012 - 04/02/2012,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2012-01-31,2012
392,393,Oregon Health Authority,Boon Keng,550,4/13/2012,Theft,Paper,2014-04-23,,2012-04-13,2012
393,394,SHIELDS For Families ,Yio Chu Kang,961,2/27/2012,Theft,Network Server,2014-01-23,,2012-02-27,2012
394,395,"Safe Ride Services, Inc",Toa Payoh,42000,8/31/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2011-08-31,2011
395,396,IntraCare North Hospital,Yishun,750,03/15/2011 - 08/18/2011,Theft,Paper,2014-01-23,,2011-03-15,2011
396,397,"Oakland Vision Services, PC",Newton,3000,2012-09-04 00:00:00,Hacking/IT Incident,Network Server,2014-03-24,,2012-04-09,2012
397,398,"Stephen Haggard, DPM Podiatry ",Punggol,1597,2012-04-03 00:00:00,Theft,Network Server,2014-01-23,,2012-03-04,2012
398,399,Baptist Health System,Clementi,1655,2012-08-03 00:00:00,Improper Disposal,Paper,2014-01-23,,2012-03-08,2012
399,400,University of Houston for UH College of Optometry,Yishun,7000,02/22/2012-02/23/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2012-02-22,2012
400,401,Rite Aid Store 1343,Kent Ridge,2905,3/26/2012,Theft,Paper,2014-03-24,,2012-03-26,2012
401,402,Iowa Department of Human Services,Bukit Merah,3000,02/06/2012 - 03/14/2012,Improper Disposal,Paper,2014-01-23,,2012-02-06,2012
402,403,Hogan Services Inc. Health Care Premium Plan,Queenstown,1134,3/30/2012,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2012-03-30,2012
403,404,"Family HealthServices Minnesota, P.A.",Chai Chee,4000,3/30/2012,Theft,Laptop,2014-06-10,,2012-03-30,2012
404,405,St. Mary Medical Center,Yio Chu Kang,3900,2012-07-05 00:00:00,Loss,Other Portable Electronic Device,2014-01-23,,2012-05-07,2012
405,406,Fairview Health Services,Chai Chee,623,7/25/2011,Theft,Laptop,2014-03-24,,2011-07-25,2011
406,407,Our Lady of the Lake Regional Medical Center,Kovan,17000,3/16/2012,"Theft, Loss",Laptop,2014-01-23,,2012-03-16,2012
407,408,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,19100,06/28/2011 - 12/12/2011,Unauthorized Access/Disclosure,Other,2014-01-23,,2011-06-28,2011
408,409,West Dermatology,Yio Chu Kang,1900,04/21/2012 - 04/22/2012,Theft,Other,2014-01-23,,2012-04-21,2012
409,410,Duke University Health System,Bukit Panjang,591,04/21/2004-02/16/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2004-04-21,2004
410,411,"Luz Colon, DPM  Podiatry ",Sembawang,1137,3/20/2012,"Theft, Loss",Laptop,2014-01-23,,2012-03-20,2012
411,412,Ameritas Life Insurance Corp. ,Bukit Batok,3000,3/21/2012,Theft,Laptop,2014-01-23,,2012-03-21,2012
412,413,Children's Hospital Boston,Paya Lebar,2159,3/25/2012,Theft,Laptop,2014-01-23,,2012-03-25,2012
413,414,Upper Valley Medical Center,Jurong East,15000,10/01/2010-03/21/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2010-10-01,2010
414,415,Physician's Automated Laboratory,Yio Chu Kang,745,03/23/2012 - 03/26/2012,Theft,Paper,2014-01-23,,2012-03-23,2012
415,416,"Phoebe Putney Memorial Hospital, Inc. ",Eunos,12937,07/26/2010-03/29/2012,Theft,"Electronic Medical Record, Paper",2014-02-20,,2010-07-26,2010
416,417,Independence Physical Therapy,Admiralty,925,2011-01-08 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-08-01,2011
417,418,Titus Regional Medical Center,Yishun,5700,3/27/2012,"Loss, Unknown",Laptop,2014-01-23,,2012-03-27,2012
418,419,Titus Regional Medical Center,Yishun,500,3/29/2012,Theft,Other,2014-01-23,,2012-03-29,2012
419,420,Lutheran Community Services Northwest,Punggol,756,03/29/2012-03/30/2012,Theft,"Desktop Computer, Other Portable Electronic Device",2014-01-23,,2012-03-29,2012
420,421,"Volunteer State Health Plan, Inc. ",Bishan,1102,03/16/2012-04/20/2012,Loss,Paper,2014-01-23,,2012-03-16,2012
421,422,Charlie Norwood VA Medical Center,Eunos,824,3/30/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-03-30,2012
422,423,"Mid America Health, Inc.",Novena,1444,2012-06-04 00:00:00,Theft,Laptop,2014-01-23,,2012-04-06,2012
423,424,"Metcare of Florida, Inc.",Sembawang,2557,05/01/2012 - 05/02/2012,Theft,Other Portable Electronic Device,2014-01-23,,2012-05-01,2012
424,425,"Robert Witham, MD, FACP",Boon Keng,11136,4/16/2012,Theft,Desktop Computer,2014-01-23,,2012-04-16,2012
425,426,Memorial Sloan-Kettering Cancer Center,Sengkang,568,08/13/2009-04/12/2012,Theft,"E-mail, Other",2014-06-03,"The covered entity's (CE) staff member disclosed an unencrypted Microsoft Excel graph to a non-covered entity physician who re-disclosed it to a medical education organization to be used  in a presentation.  In addition, the medical education organization posted the presentation slides on its website.  The graph contained the protected health information (PHI) of 569 individuals and included names, telephone numbers, social security numbers, ages, cities and states of residence, medical record numbers, and clinical information.  Upon discovery of the breach, the CE ensured that the information was removed from the website and deleted, sanctioned the workforce member responsible, and retrained its workforce on the use of a data loss prevention tool and the risks of embedded PHI.  As a result of OCR's investigation, the CE provided OCR with evidence of its technical safeguards and security awareness initiatives and provided assurance that it implemented the corrective action listed above.",2009-08-13,2009
426,427,"Gessler Clinic, P.A.",Sembawang,1409,05/03/2012-05/04/2012,Theft,Paper,2014-01-23,,2012-05-03,2012
427,428,University of Kentucky HealthCare,Kembangan,4490,2012-01-05 00:00:00,Theft,Laptop,2014-01-23,,2012-05-01,2012
428,429,Wolf & Yun,Kembangan,824,4/24/2012,Theft,Laptop,2014-01-23,,2012-04-24,2012
429,430,Karen Kietzman,Telok Blangah,708,4/22/2012,Theft,"Laptop, Other Portable Electronic Device",2014-03-21,,2012-04-22,2012
430,431,"Bruce G. Peller, DMD, PA",Bukit Panjang,9953,4/22/2012,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2012-04-22,2012
431,432,"Sharon L. Rogers, Ph.D., ABPP",Yishun,585,6/16/2012,Theft,Laptop,2014-01-23,,2012-06-16,2012
432,433,Health Texas Provider Network - Cardiovascular Consultants of North Texas,Yishun,2462,03/16/2012 - 05/11/2012,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2012-03-16,2012
433,434,SwedishAmerican Health System,Boon Lay,1500,5/31/2012,Theft,Paper,2014-03-24,,2012-05-31,2012
434,435,River Arch Dental,Yio Chu Kang,2533,2012-12-05 00:00:00,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,,2012-05-12,2012
435,436,Hamner Square Dental ,Yio Chu Kang,1112,2012-12-05 00:00:00,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,2014-01-23,,2012-05-12,2012
436,437,Visiting Nurse Services of Iowa,Bukit Merah,1298,5/27/2012,Theft,Paper,2014-01-23,,2012-05-27,2012
437,438,Molalla Family Dental,Boon Keng,4354,5/17/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Network Server,2014-01-23,,2012-05-17,2012
438,439,Pamlico Medical Equipment LLC,Bukit Panjang,2917,5/16/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-05-16,2012
439,440,Beth Israel Deaconess Medical Center,Paya Lebar,3900,5/22/2012,Theft,Laptop,2014-01-23,,2012-05-22,2012
440,441,NYU School of Medicine Faculty Group Practice,Sengkang,8488,5/22/2012,Theft,Desktop Computer,2014-01-23,,2012-05-22,2012
441,442,"Adult & Child Center, Inc.",Novena,550,2012-10-05 00:00:00,Hacking/IT Incident,Other,2014-01-23,,2012-05-10,2012
442,443,"The Surgeons of Lake County, LLC",Boon Lay,7067,06/22/2012-06/25/2012,Other,Network Server,2014-01-23,,2012-06-22,2012
443,444,Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg,Novena,1504,06/01/2012-06/04/2012,Theft,Other,2014-01-23,,2012-06-01,2012
444,445,Jeffrey Paul Edelstein M.D.,Toa Payoh,4800,5/28/2012,Theft,Network Server,2014-01-23,,2012-05-28,2012
445,446,Northwestern Memorial Hospital,Boon Lay,4211,2012-11-06 00:00:00,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,,2012-06-11,2012
446,447,Walgreen Co.,Boon Lay,1240,2012-05-07 00:00:00,Theft,Paper,2014-01-23,,2012-07-05,2012
447,448,VNA HealthCare,Admiralty,7461,6/25/2012,Theft,Laptop,2014-02-19,,2012-06-25,2012
448,449,Hartford Hospital,Admiralty,2097,6/25/2012,Theft,Laptop,2014-04-23,,2012-06-25,2012
449,450,Diversified Support Services,Novena,505,2012-10-05 00:00:00,Hacking/IT Incident,Other,2014-01-23,,2012-05-10,2012
450,451,Oregon Health & Science University,Boon Keng,702,2012-04-07 00:00:00,Theft,Other,2014-01-23,,2012-07-04,2012
451,452,Stanford Hospital & Clinics and School of Medicine,Yio Chu Kang,2300,07/15/2012 - 07/16/2012,Theft,Desktop Computer,2014-01-23,,2012-07-15,2012
452,453,Midtown Mental Health Center,Novena,890,2012-10-05 00:00:00,Hacking/IT Incident,Other,2014-01-23,,2012-05-10,2012
453,454,Harris County Hospital District,Yishun,2875,04/14/2008 - 02/28/2011,Theft,"Electronic Medical Record, Paper",2014-04-23,,2008-04-14,2008
454,455,Howard University Hospital,Tampines,66601,1/25/2012,Theft,Laptop,2014-01-23,,2012-01-25,2012
455,456,TEMPLE COMMUNITY HOSPITAL,Yio Chu Kang,603,2012-03-07 00:00:00,Theft,Desktop Computer,2014-01-23,,2012-07-03,2012
456,457,Memorial Healthcare System,Sembawang,105646,01/01/2011 - 07/05/2012,Theft,Electronic Medical Record,2014-01-23,,2011-01-01,2011
457,458,Central States Southeast and Siouthwest Areas Health & Welfare Fund,Boon Lay,754,7/31/2012,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,,2012-07-31,2012
458,459,LANA MEDICAL CARE,Sembawang,500,8/18/2012,Theft,Laptop,2014-01-23,,2012-08-18,2012
459,460,"Cancer Care Group, P.C.",Novena,55000,7/19/2012,Theft,Other Portable Electronic Device,2014-03-24,,2012-07-19,2012
460,461,Tricounty Behavioral Health Clinic,Eunos,4000,8/26/2012,Theft,Laptop,2014-01-23,,2012-08-26,2012
461,462,Sierra Plastic Surgery,Hougang,800,08/19/2011-09/20/2011,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2011-08-19,2011
462,463,"Charlotte Clark-Neitzel, MD",Punggol,942,7/24/2012,Theft,Laptop,2014-01-23,,2012-07-24,2012
463,464,University of Miami,Sembawang,64846,7/18/2012,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,,2012-07-18,2012
464,465,University of New Mexico Health Sciences Center,Choa Chu Kang,2365,5/21/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-05-21,2012
465,466,"Valley Plastic Surgery, P.C.",Marine Parade,4873,7/15/2012,Theft,Other Portable Electronic Device,2014-03-24,,2012-07-15,2012
466,467,Colon & Digestive Health Specialists,Bouna Vista,5713,7/16/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-07-16,2012
467,468,"BHcare, Inc",Admiralty,5827,7/19/2012,Theft,"Laptop, Other Portable Electronic Device",2014-02-19,,2012-07-19,2012
468,469,The Feinstein Institute for Medical Research,Sengkang,13000,2012-02-09 00:00:00,Theft,Laptop,2014-01-23,,2012-09-02,2012
469,470,"St. Therese Medical Group, Inc",Yio Chu Kang,3031,7/22/2012,Theft,Desktop Computer,2014-01-23,,2012-07-22,2012
470,471,"Cabinet for Health and Family Services, Department for Community Based Services (Protection and Permanency)",Kembangan,2500,7/20/2012,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2012-07-20,2012
471,472,"Litton & Giddings Radiological Associates, P.C.",Queenstown,13074,07/31/2012 - 08/02/2012,Improper Disposal,Paper,2014-01-23,,2012-07-31,2012
472,473,"Apria Healthcare, Inc.",Yio Chu Kang,65700,6/14/2012,Theft,Laptop,2014-01-23,,2012-06-14,2012
473,474,"Alexander J. Tikhtman, M.D.",Kembangan,2376,8/15/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-08-15,2012
474,475,Gulf Coast Health Care Services Inc,Sembawang,13000,8/17/2012,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2012-08-17,2012
475,476,"Blount Memorial Hospital, Inc",Bishan,27799,8/25/2012,Theft,Laptop,2014-01-23,,2012-08-25,2012
476,477,"Alere Home Monitoring, Inc",Yio Chu Kang,116506,9/23/2012,Theft,Laptop,2014-01-23,,2012-09-23,2012
477,478,"Coastal home Respiratory, LLP",Eunos,3440,2012-04-10 00:00:00,Theft,Other,2014-01-23,,2012-10-04,2012
478,479," Philip P Corneliuson, DDS, INC.",Yio Chu Kang,980,9/15/2012,Theft,Desktop Computer,2014-01-23,,2012-09-15,2012
479,480,"First Step Counseling, Inc.",Bedok,638,05/01/2011 - 08/05/2011,Theft,Paper,2014-06-03,"Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. ",2011-05-01,2011
480,481,"Logan Community Resources, Inc.",Novena,2900,8/24/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-08-24,2012
481,482,"David DiGiallorenzo, D.M.D.",Serangoon,2600,9/17/2012,"Unauthorized Access/Disclosure, Hacking/IT Incident","Network Server, Electronic Medical Record",2014-01-23,,2012-09-17,2012
482,483,CVS Caremark,Pasir Ris,955,8/13/2012,Theft,Paper,2014-01-23,,2012-08-13,2012
483,484,Memorial Hospital,Jurong East,500,8/29/2012,Improper Disposal,Paper,2014-03-24,,2012-08-29,2012
484,485,Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,Sembawang,2560,01/01/2012 - 09/12/2012,Theft,Electronic Medical Record,2014-01-23,,2012-01-01,2012
485,486,"WYATT DENTAL GROUP, LLC",Kovan,10271,11/04/2011 -04/15/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,,2011-11-04,2011
486,487,Women & Infants Hospital of Rhode Island,Pasir Ris,14004,9/13/2012,Loss,Other,2014-01-23,,2012-09-13,2012
487,488,Memorial Health System,Redhill,6262,2012-01-05 00:00:00,Loss,Paper,2014-01-23,,2012-05-01,2012
488,489,CHRISTUS St. John Hospital,Yishun,5748,9/25/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-09-25,2012
489,490,L.A. Care Health Plan,Yio Chu Kang,18000,09/17/2012-09/20/2012,Other,Other,2014-01-23,,2012-09-17,2012
490,491,"Hawaii State Department of Health, Adult Mental Health Division",Geylang,674,9/25/2012,Hacking/IT Incident,Desktop Computer,2014-01-23,,2012-09-25,2012
491,492,"Soundental Associates, PC",Admiralty,14511,9/24/2012,Theft,Other Portable Electronic Device,2014-02-19,,2012-09-24,2012
492,493,"Original Medicine Acupuncture & Wellness, LLC",Choa Chu Kang,540,09/07/2012 - 09/09/2012,Theft,Laptop,2014-01-23,,2012-09-07,2012
493,494,Brigham and Women's Hospital,Paya Lebar,615,10/16/2012,Theft,Desktop Computer,2014-01-23,,2012-10-16,2012
494,495,"St. Francis Health Network, aka Franciscan Alliance ACO",Novena,2575,10/19/2012,Other,Other,2014-01-23,,2012-10-19,2012
495,496,"James M. McGee, D.M.D., P.C.",Eunos,1306,09/19/2012 - 09/26/2012,Theft,Paper,2014-01-23,,2012-09-19,2012
496,497,Robbins Eye Center PC,Admiralty,1749,2012-07-10 00:00:00,Theft,Desktop Computer,2014-01-23,,2012-10-07,2012
497,498,"Advanced Data Processing, Inc.",Sembawang,10000,06/15/2012 -10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
498,499,Cuyahoga County Board of Developmental Disabilities,Jurong East,613,2012-02-11 00:00:00,Theft,Laptop,2014-03-24,,2012-11-02,2012
499,500,Okaloosa County Public Safety,Sembawang,715,06/15/2012 - 10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
500,501,City of Covington Kentucky Fire Department ,Kembangan,1548,06/15/2012-10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
501,502,Northern Trust,Boon Lay,500,9/13/2012,Unauthorized Access/Disclosure,Network Server,2014-03-24,,2012-09-13,2012
502,503,Vidant Pungo Hospital,Bukit Panjang,1100,2012-04-10 00:00:00,Improper Disposal,Paper,2014-01-23,,2012-10-04,2012
503,504,County of San Bernardino Department of Public Heatlh,Yio Chu Kang,1370,09/28/2012 - 09/30/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-09-28,2012
504,505,City of Overland Park Fire Department,Sembawang,911,06/15/2012 - 10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
505,506,Sumner County Emergency Medical Services,Bishan,774,06/15/2012 - 10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
506,507,City of El Centro Fire Department,Yio Chu Kang,1500,2012-01-10 00:00:00,"Theft, Unauthorized Access/Disclosure",Desktop Computer,2014-01-23,,2012-10-01,2012
507,508,Landmark Medical Center,Pasir Ris,683,2012-01-10 00:00:00,Theft,Laptop,2014-01-23,,2012-10-01,2012
508,509,City of Atlanta/ Atlanta Fire Rescue Department,Eunos,908,06/15/2012-10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
509,510,University of Virginia Medical Center,Marine Parade,1846,2012-05-10 00:00:00,Loss,Other Portable Electronic Device,2014-02-14,,2012-10-05,2012
510,511,Osceola County EMS ,Sembawang,949,06/15/2012-10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
511,512,Carolinas Medical Center - Randolph,Bukit Panjang,5600,03/11/2012 - 10/08/2012,Hacking/IT Incident,E-mail,2014-01-23,,2012-03-11,2012
512,513,"Coastal Behavioral Healthcare, Inc.",Sembawang,4907,2011-11-04 00:00:00,Theft,Paper,2014-01-23,,2011-04-11,2011
513,514,"CCS Medical, Inc.",Yishun,6601,05/01/2012 - 09/21/2012,Unauthorized Access/Disclosure,"Network Server, Other",2014-01-23,,2012-05-01,2012
514,515,"City of Gloucester, Fire Department",Paya Lebar,1286,06/15/2012-10/01/2012,Theft,Desktop Computer,2014-01-23,,2012-06-15,2012
515,516,Columbia University Medical Center and NewYork-Presbyterian Hospital,Sengkang,4929,10/12/2012-10/15/2012,Theft,Desktop Computer,2014-01-23,,2012-10-12,2012
516,517,Baptist Health System,Bouna Vista,811,10/13/2012-10/27/2012,Other,Paper,2014-01-23,,2012-10-13,2012
517,518,"DFA, Employee Benefits Division",Bouna Vista,7039,10/13/2012 - 10/27/2012,Other,Paper,2014-01-23,,2012-10-13,2012
518,519,Health Advantage,Bouna Vista,2863,10/13/2012 - 10/27/2012,Other,Paper,2014-01-23,,2012-10-13,2012
519,520,University of Michigan Health System,Newton,3999,11/14/2012,Theft,Laptop,2014-01-23,,2012-11-14,2012
520,521,Westerville Dental Center,Jurong East,850,2012-02-12 00:00:00,Theft,"Laptop, Network Server",2014-01-23,,2012-12-02,2012
521,522,"OHP PHSP, Inc.",Sengkang,28187,08/31/2012 - 09/21/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-08-31,2012
522,523,"Center for Orthopedic Research and Education, Inc.",Toa Payoh,35488,10/20/2012 - 10/21/2012,Theft,Paper,2014-04-23,,2012-10-20,2012
523,524,Calif. Dept. of Health Care Services (DHCS),Yio Chu Kang,2643,12/10/2012 - 12/18/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-12-10,2012
524,525,Richard Switzer MD PC,Newton,4100,11/29/2011,Other,Laptop,2014-03-24,,2011-11-29,2011
525,526,Gibson General Hospital,Novena,28893,11/27/2012,Theft,Laptop,2014-03-24,,2012-11-27,2012
526,527,"Sovereign Medical Group, LLC",Bedok,27800,2012-10-10 00:00:00,"Theft, Hacking/IT Incident",Network Server,2014-01-23,,2012-10-10,2012
527,528,"Cabinet for Health & Family Services, Department of Medicaid Services",Kembangan,1090,11/15/2012,Hacking/IT Incident,Laptop,2014-01-23,,2012-11-15,2012
528,529,"Harbor Medical Associates, P.C.",Paya Lebar,4343,10/18/2012 - 11/04/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-10-18,2012
529,530,Sentara Healthcare,Marine Parade,56820,11/14/2012,Theft,Laptop,2014-02-14,,2012-11-14,2012
530,531,St. Mark's Medical Center,Yishun,2988,5/21/2012,Hacking/IT Incident,Desktop Computer,2014-01-23,,2012-05-21,2012
531,532,"Granite Medical Group, Inc.",Paya Lebar,4125,01/02/2010 - 11/15/2012,Hacking/IT Incident,Network Server,2014-02-19,,2010-01-02,2010
532,533,University of Nevada School of Medicine,Hougang,1483,2012-11-10 00:00:00,Improper Disposal,Paper,2014-01-23,,2012-10-11,2012
533,534,Dimensions Healthcare System,Tanglin,635,11/16/2012,Unauthorized Access/Disclosure,Paper,2014-03-25,,2012-11-16,2012
534,535,SilverScript Insurance Company,Toa Payoh,852,10/31/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-10-31,2012
535,536,South Jersey Hospital Inc.,Bedok,8555,11/14/2012,Theft,Laptop,2014-01-23,,2012-11-14,2012
536,537,"Child & Family Psychological Services, Inc.",Paya Lebar,7250,10/18/2012-10/29/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-10-18,2012
537,538,Pousson Family Dentistry,Kovan,1400,2012-03-12 00:00:00,Theft,Laptop,2014-01-23,,2012-12-03,2012
538,539,South Shore Medical Center,Paya Lebar,4100,01/01/2007-11/15/2012,Hacking/IT Incident,Network Server,2014-01-23,,2007-01-01,2007
539,540,"Lee D. Pollan, DMD, PC",Sengkang,19178,11/06/2012-11/15/2012,Theft,Laptop,2014-05-28,"OCR opened an investigation of the covered entity (CE) after it reported an unencrypted laptop was stolen that contained the electronic protected health information (ePHI) of 19,178 individuals.  The ePHI included names, addresses, zip codes, dates of birth, social security numbers, claims information, and diagnosis codes.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted the backup drive of the contents of the laptop computer.  The CE also trained all staff on the use of encryption to safeguard data on personal computers and mobile devices.",2012-11-06,2012
540,541,Washington University School of Medicine,Queenstown,1105,11/28/2012,Theft,Laptop,2014-01-23,,2012-11-28,2012
541,542,Riderwood Village,Tanglin,3230,11/18/2012,Theft,Laptop,2014-01-23,,2012-11-18,2012
542,543,WAYNE MEMORIAL HOSPITAL,Serangoon,1184,2012-03-12 00:00:00,Loss,Other,2014-03-24,,2012-12-03,2012
543,544,Baptist Health System,Yishun,678,8/14/2011,Unauthorized Access/Disclosure,Electronic Medical Record,2014-03-13,,2011-08-14,2011
544,545,Baillie Lumber Co. Group Health Plan,Sengkang,725,11/27/2012,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), Baillie Lumber Co. Group Health Plan, after it reported its business associate (BA), Blue Cross Blue Shield, mailed a monthly premium notice with invoices that contained the protected health information (PHI) of 725 individuals which was never received by the CE.  The PHI included names, member identification numbers, and social security numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the BA contacted the U.S. Post Office to inquire about the package that contained the invoices that the CE never received.  As a result of OCR's investigation, the BA revised its invoice process and removed social security numbers and member identification numbers from its invoices.  The BA also improved safeguards by changing its mailing procedures to send invoices to the CE via secure email.  The breach involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2012-11-27,2012
545,546,The University of Texas MD Anderson Cancer Center,Yishun,29021,4/30/2012,Theft,Laptop,2014-01-23,,2012-04-30,2012
546,547,"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",Simei,2400,05/30/2012-08/31/2012,Theft,Paper,2014-03-24,,2012-05-30,2012
547,548,Boy Scouts of America Employee Benefit Plan,Yishun,8911,09/15/2012-11/30/2012,Theft,Desktop Computer,2014-01-23,,2012-09-15,2012
548,549,Kmart Corporation,Boon Lay,16988,2013-02-01 00:00:00,Improper Disposal,Paper,2014-02-12,,2013-01-02,2013
549,550,Community Services NW,Clementi,2400,2012-06-12 00:00:00,Theft,Desktop Computer,2014-04-23,,2012-12-06,2012
550,551,American HomePatient Inc. ,Bishan,1103,2012-11-10 00:00:00,Theft,Laptop,2014-01-23,,2012-10-11,2012
551,552,Yadkinville Chiropractic DCPA,Bukit Panjang,1000,2013-01-02 00:00:00,Theft,Desktop Computer,2014-02-12,,2013-02-01,2013
